 


  
  

NCAA Women's Soccer
Division IShutouts
Through Games 12/08/2019


"Rank","Name","Team","Cl","Pos","Shutouts"
"47","Taiana Tolleson","Vanderbilt","Sr.","GK","20","34","7","980:52","1954:07","0.829"
"48","Amanda McQuillan","Central Conn. St.","So.","GK","20","63","13","1736:47","2032:00","0.829"
"49","Camryn Nici","Manhattan","Sr.","-","15","87","18","1055:00","1497:12","0.829"
"50","Katelyn Kellogg","Gardner-Webb","So.","GK","13","82","17","1117:47","2046:55","0.828"
"51","Shelby Hogan","Providence","Jr.","GK","20","110","23","1889:42","1901:47","0.827"
"52","Haleigh Mercer","Troy","Jr.","GK","19","90","19","1693:11","1805:38","0.826"
"53","Alana Rossi","Canisius","Sr.","GK","16","71","15","1434:29","1513:45","0.826"
"54","Meagan McClelland","Rutgers","So.","GK","21","66","14","1964:18","1978:40","0.825"
"55","Sophia Lipka","IUPUI","Sr.","GK","16","75","16","1217:59","1833:58","0.824"
"56","Maggie Barron","Mt. St. Mary's","Jr.","GK","12","98","21","1046:40","1564:28","0.824"
"","Claire Howard","Montana","Jr.","-","19","70","15","1839:12","1839:12","0.824"
"","Laurel Ivory","Virginia","Jr.","GK","19","28","6","1752:29","2072:03","0.824"
"59","Sarah Peters","Kansas","So.","GK","25","88","19","2290:50","2337:07","0.822"
"60","Natalie Neumann","Lafayette","Fr.","-","18","46","10","937:22","1747:22","0.821"
"61","Bella Killgore","Rice","So.","-","19","55","12","1107:11","1778:48","0.821"
"62","Maia Perez","Hartford","Jr.","GK","19","87","19","1803:01","1803:01","0.821"
"63","Katie Meyer","Stanford","So.","-","16","18","4","1306:01","2180:00","0.818"
"64","Kyleigh Hall","A&M-Corpus Christi","Jr.","-","19","103","23","1771:48","1881:48","0.817"
"65","Megan Donnally","Northern Ill.","Jr.","GK","9","71","16","838:00","1580:12","0.816"
"66","Justice Stanford","South Alabama","Sr.","GK","22","62","14","1974:10","2073:43","0.816"
"67","Madison White","Texas Tech","Fr.","-","14","57","13","1332:11","1980:38","0.814"
"68","Katie Sullivan","Creighton","So.","GK","12","48","11","1082:34","1682:02","0.814"
"69","Kaylee Donnelly","Bucknell","Fr.","GK","17","87","20","1538:52","1691:27","0.813"
"70","Eve Beyer","UAB","Fr.","-","12","52","12","1159:47","1739:47","0.813"
"","Talia Klimes","High Point","Sr.","-","19","78","18","1635:27","1689:03","0.813"
"","Isabella Whitmore","Southern Utah","Fr.","GK","13","91","21","965:24","1586:52","0.813"
"73","Lorah Pund","Purdue Fort Wayne","Jr.","GK","18","103","24","1512:10","1519:10","0.811"
"74","Melody Jayroe","Liberty","Jr.","GK","19","94","22","1761:36","1773:33","0.810"
"75","Zoie Reed","Central Mich.","Sr.","-","17","81","19","1654:23","1654:23","0.810"
"76","Lily Herman","Belmont","Sr.","-","22","131","31","1991:01","2003:44","0.809"
"77","Kacey Lambertson","Vermont","Jr.","-","15","76","18","1238:24","1508:24","0.809"
"78","Mimi Stines","Northern Ky.","So.","GK","18","97","23","1511:31","1543:39","0.808"
"79","Kelsie Stone","Drake","Jr.","-","19","80","19","1667:38","1740:23","0.808"
"80","Sabrina Davis","BYU","Sr.","GK","22","63","15","1835:05","2101:27","0.808"
"81","Sydney Martinez","South Fla.","So.","GK","14","46","11","1215:00","1910:00","0.807"
"82","Kendal Stovall","Nevada","So.","GK","18","117","28","1608:14","1672:21","0.807"
"83","Amanda Delgado","CSUN","So.","GK","19","75","18","1543:18","1858:18","0.806"
"84","Emily Kelly","Buffalo","So.","GK","20","87","21","1869:04","1899:13","0.806"
"85","Cat Sheppard","New Hampshire","So.","-","18","74","18","1580:10","1621:23","0.804"
"86","Carlotta Cartelli","Louisiana Tech","Sr.","GK","18","82","20","1507:47","1985:39","0.804"
"87","Sofia Manner","Stony Brook","Jr.","GK","21","90","22","1740:34","1740:34","0.804"
"88","Victoria Scarratt","Saint Peter's","Jr.","GK","14","102","25","1235:00","1550:00","0.803"
"89","Siena Ruelas","Washington","Sr.","GK","15","57","14","1317:37","1942:13","0.803"
"90","Melissa Weck","FGCU","Sr.","GK","17","61","15","1511:02","1583:21","0.803"
"91","Kaitlin Maxwell","Missouri St.","Jr.","-","18","73","18","1577:31","1577:31","0.802"
"92","Dani Greenlee","Oklahoma St.","Jr.","GK","20","60","15","1722:16","2069:04","0.800"
"","Elyssa Kipperman","Sacred Heart","Fr.","GK","19","104","26","1690:45","1765:41","0.800"
"","Sophia Lettieri","Holy Cross","Jr.","-","16","64","16","1554:43","1599:22","0.800"
"","Emory Wegener","Georgia","So.","-","17","64","16","1509:54","1709:34","0.800"
"","Brittany Wilson","Denver","Sr.","GK","20","36","9","1792:52","1883:42","0.800"
"","Milena Zink","Fresno St.","Fr.","GK","17","40","10","947:51","1879:55","0.800"
"98","Stevie Holbrook","Cleveland St.","Jr.","GK","16","75","19","1454:57","1629:37","0.798"
"99","Reaghan Duval","Campbell","So.","GK","15","63","16","1278:04","1782:31","0.797"
"","Meaghan Phillips","Quinnipiac","Fr.","-","17","63","16","1406:24","1641:24","0.797"
"101","Kendra Clarke","Georgia St.","So.","GK","15","55","14","1374:54","1802:04","0.797"
"102","Emily Alvarado","TCU","Jr.","GK","21","86","22","1814:55","1859:55","0.796"
"103","Kamryn  Stablein","Delaware","So.","-","19","70","18","1730:42","1795:57","0.795"
"104","Stephanie Rodriguez","Butler","Jr.","-","19","62","16","1796:42","1796:42","0.795"
"105","Bailey Redden","Southeast Mo. St.","So.","GK","16","89","23","1471:33","1566:34","0.795"
"","Malia Vanisi","New Mexico","So.","GK","18","89","23","1642:14","1743:51","0.795"
"107","Bethany Kopel","Indiana","Jr.","-","19","58","15","1753:27","1753:27","0.795"
"108","Alexis Mata","Hawaii","Sr.","-","18","104","27","1726:11","1726:09","0.794"
"109","Mariel Gordon","Dartmouth","Jr.","GK","16","50","13","1395:44","1553:45","0.794"
"110","Megan McClure","Arkansas St.","Jr.","GK","19","73","19","1780:32","1905:24","0.793"
"111","Kelsey Brann","North Texas","So.","GK","22","65","17","1907:15","1997:15","0.793"
"112","Claudia Jenkins","La Salle","Jr.","-","20","103","27","1828:43","1839:24","0.792"
"113","Teresa Morrissey","Rhode Island","Fr.","GK","14","61","16","1326:56","1711:46","0.792"
"114","Tess Mrozek","ETSU","So.","GK","20","80","21","1815:05","1911:23","0.792"
"115","Julia Curatolo","Little Rock","Fr.","GK","19","76","20","1719:59","1829:26","0.792"
"116","Tamaki Machi","George Washington","So.","-","21","91","24","1964:40","1981:17","0.791"
"117","Liz Matei","Columbia","Fr.","GK","15","53","14","1341:46","1529:57","0.791"
"","Carly Nelson","Utah","Sr.","-","21","106","28","1985:50","1992:19","0.791"
"119","Carmen Carbonell","Rider","Jr.","GK","16","87","23","1418:58","1432:45","0.791"
"","Kristian Shores","Jacksonville","Sr.","GK","13","87","23","1168:39","1513:39","0.791"
"121","Bridgette Skiba","Oregon St.","So.","GK","19","68","18","1751:16","1769:15","0.791"
"122","Natalie Grossi","Princeton","Sr.","-","15","60","16","1369:39","1594:39","0.789"
"123","Ines Palmiero Herrera","Western Ill.","Sr.","GK","18","86","23","1471:57","1479:37","0.789"
"124","Rachel Johnson","Abilene Christian","Sr.","GK","14","56","15","1269:22","1764:22","0.789"
"125","Tiffany Sornpao","Kennesaw St.","Jr.","-","20","82","22","1770:17","1862:27","0.788"
"126","Courtney O'Malley","UNC Asheville","So.","-","11","52","14","827:42","1565:32","0.788"
"127","Maggie Rogers","Western Mich.","Jr.","-","18","89","24","1571:50","1745:23","0.788"
"128","Jalen Tompkins","Colorado","Sr.","-","22","100","27","1946:37","1946:37","0.787"
"129","Shantel Hutton","Texas A&M","Fr.","GK","17","48","13","1479:57","2059:07","0.787"
"130","Anne-Marie Ulliac","Western Ky.","Sr.","GK","18","70","19","1634:05","1709:57","0.787"
"131","Lauren Malcolm","St. Bonaventure","Sr.","-","18","81","22","1640:29","1640:29","0.786"
"132","Marisa Bova","Purdue","So.","-","20","66","18","1861:37","1861:37","0.786"
"","Grace Droessler","Loyola Chicago","Fr.","-","16","55","15","1418:02","1832:56","0.786"
"","Tatum Sutherland","SMU","Fr.","GK","19","66","18","1522:20","1605:35","0.786"
"135","Taylor Dorado","Siena","Sr.","-","19","106","29","1693:10","1693:10","0.785"
"136","Randi Palacios","UConn","Sr.","-","17","87","24","1597:50","1597:50","0.784"
"","Cameron Perrott","Saint Joseph's","Sr.","GK","13","58","16","1210:17","1770:17","0.784"
"138","Quinn Josiah","Prairie View","So.","GK","18","83","23","1353:59","1729:22","0.783"
"139","Melanie Stiles","East Carolina","Jr.","-","18","90","25","1660:55","1692:10","0.783"
"140","Logan Pace","USC Upstate","So.","GK","16","111","31","1386:36","1508:59","0.782"
"141","Haylee Poltorak","Binghamton","So.","-","13","46","13","1210:00","1655:01","0.780"
"142","Dmitri Fong","New Mexico St.","Jr.","GK","18","120","34","1624:20","1681:17","0.779"
"143","Amber Michel","San Diego","Sr.","GK","18","95","27","1497:17","1572:23","0.779"
"144","Sophia Chen","Albany (NY)","Jr.","GK","15","63","18","1421:28","1691:28","0.778"
"","Libby Harper","Akron","Fr.","-","20","63","18","1595:17","1895:01","0.778"
"","Rachel Pugh","Grambling","Fr.","-","19","56","16","1088:18","1919:20","0.778"
"147","Rylee Foster","West Virginia","Sr.","-","21","87","25","1904:21","2048:56","0.777"
"148","Sydney Cassalia","Army West Point","Jr.","GK","20","66","19","1883:40","1883:40","0.776"
"149","Jazmin Gonzalez","Charleston So.","Sr.","GK","18","97","28","1665:01","1755:01","0.776"
"150","Ashley Orkus","Ole Miss","So.","GK","20","90","26","1900:34","1900:34","0.776"

NCAA Women's Soccer
Division ITotal Assists
Through Games 12/08/2019


"Rank","Name","Team","Cl","Pos","Assists"
"1","Catarina Macario","Stanford","Jr.","-","23"
"2","Lucy Ashworth","Lamar University","Jr.","F","17"
"3","Jimena Lopez","Texas A&M","Jr.","M","15"
"","Ashley Sanchez","UCLA","Jr.","F","15"
"5","Madison Haley","Stanford","Jr.","-","14"
"","Stasia Mallin","Memphis","Sr.","D","14"
"7","Lizzy Braby","BYU","Sr.","M","13"
"","Kiersten Edlund","Troy","Sr.","M","13"
"","Atlanta Primus","Cal St. Fullerton","Sr.","M","13"
"10","Haley Crawford","James Madison","Sr.","-","12"
"","Ansley Frazier","Massachusetts","Fr.","M","12"
"","Renee Guion","Clemson","So.","D","12"
"","Jaci Jones","Oklahoma St.","Sr.","M","12"
"","Alexa Spaanstra","Virginia","So.","M","12"
"","Sarah Stratigakis","Michigan","Jr.","M","12"
"","Abby Townsend","Ohio","So.","F","12"
"17","Angela Caloia","Harvard","Fr.","F","11"
"","Deyna Castellanos","Florida St.","Sr.","-","11"
"","Emily Fox","North Carolina","Jr.","-","11"
"","Abby Jones","Murray St.","So.","-","11"
"","Abigail Zoeller","Mercer","Jr.","M","11"
"22","Brianna Alger","Washington St.","Jr.","D","10"
"","Sabrina Bryan","Hofstra","Jr.","F","10"
"","Rylan Childers","UMKC","So.","M","10"
"","Sam Coffey","Penn St.","Jr.","M","10"
"","Jessica Donald","Campbell","So.","F","10"
"","Madison Elwell","Vanderbilt","Jr.","M","10"
"","Alexa Genas","Campbell","Sr.","F","10"
"","Parker Goins","Arkansas","Jr.","-","10"
"","Andrea Hauksdottir","South Fla.","Sr.","M","10"
"","Kelcie Hedge","Santa Clara","Jr.","M","10"
"","Marissa Kinsey","Arkansas","Sr.","-","10"
"","Keeley Leising","Winthrop","Sr.","D","10"
"","Miciah Madison","San Francisco","Sr.","F","10"
"","Esther Okoronkwo","Lamar University","Jr.","F","10"
"","Frankie Tagliaferri","Penn St.","Jr.","M","10"
"","Kelsey Turnbow","Santa Clara","Jr.","-","10"
"","Ricarda Walkling","NC State","Sr.","M","10"
"","Gracie Wilson","South Alabama","Fr.","M","10"
"40","Taylor Aylmer","Rutgers","Sr.","M","9"
"","Elexa Bahr","South Carolina","Sr.","-","9"
"","Haley Berg","Texas","Jr.","-","9"
"","Haley Brown","Cal St. Fullerton","Jr.","F","9"
"","Hannah Doherty","Elon","Sr.","-","9"
"","Alyssa Frazier","Samford","Jr.","f","9"
"","Boo Jackson","Georgetown","So.","-","9"
"","Natalie Jacobs","Southern California","Sr.","F","9"
"","Mya Jones","Memphis","Fr.","M","9"
"","Katie McClure","Kansas","Sr.","F","9"
"","Sydny Nasello","South Fla.","So.","F","9"
"","Jaelyn Peeples","Louisiana Tech","Sr.","M","9"
"","Kiara Pickett","Stanford","Jr.","-","9"
"","Jessie Ray","Seattle U","Sr.","-","9"
"","Yazmeen Ryan","TCU","Jr.","M","9"
"","Gaby Schwartz","Milwaukee","Jr.","D","9"
"","Lucy Shepherd","Hofstra","Jr.","F","9"
"","Sophia Smith","Stanford","So.","-","9"
"","Sierra Stone","Hartford","Sr.","M","9"
"","Kiley Suter","Colorado Col.","So.","F","9"
"","Miri Taylor","Hofstra","So.","M","9"
"","Cameron Tucker","BYU","Jr.","F","9"
"","Chelsee Washington","Bowling Green","Sr.","M","9"
"","Jenna Wilt","Colorado Col.","Jr.","M","9"
"64","Murphy Agnew","Harvard","Jr.","F","8"
"","Bridgette Andrzejewski","North Carolina","Sr.","-","8"
"","Gracie Armstrong","Colorado St.","So.","F","8"
"","Grace Bahr","Xavier","Sr.","-","8"
"","Erica Bardes","Central Conn. St.","Jr.","D","8"
"","Grace Collins","TCU","Fr.","F","8"
"","Gabby Diodati","Fairfield","Jr.","M","8"
"","Olyvia Dowell","Oklahoma St.","Fr.","M","8"
"","Emina Ekic","Louisville","Jr.","M","8"
"","Sophia Fondren","SFA","Jr.","-","8"
"","Chloe Frisch","San Diego St.","Jr.","-","8"
"","Paula Germino-Watnick","Georgetown","Sr.","-","8"
"","Julia Grosso","Texas","So.","-","8"
"","Ally Grunstein","Quinnipiac","Sr.","-","8"
"","Rebecca Jarrett","Virginia","So.","F","8"
"","Lois Joel","North Carolina","Jr.","-","8"
"","Vital Kats","Kent St.","Jr.","-","8"
"","Carrie Lewis","Xavier","Jr.","-","8"
"","Katie Lockwood","Campbell","Sr.","M","8"
"","Anna Loftus","Lamar University","So.","M","8"
"","Raleigh Loughman","Michigan","So.","M","8"
"","Taylor Malham","Arkansas","Jr.","-","8"
"","Tara McKeown","Southern California","Jr.","F","8"
"","Lily McLane","Radford","Jr.","-","8"
"","Emily Moxley","UNCW","Fr.","F","8"
"","Lucy Porter","Hofstra","Jr.","M","8"
"","Rene Ross","Marshall","Jr.","-","8"
"","Jada Talley","Arizona","Jr.","-","8"
"","Celiana Torres","SMU","So.","M","8"
"","Maddie Turlington","Gardner-Webb","So.","F","8"
"","Eva Van Deursen","Arizona St.","So.","M","8"
"","Viviana Villacorta","UCLA","Jr.","M","8"
"96","Maddie Bennett","Cal St. Fullerton","Sr.","F","7"
"","Marjorie Boilesen","FGCU","Sr.","M","7"
"","Kristin Brown","Appalachian St.","Sr.","D","7"
"","Ashley Cardozo","Utah St.","Jr.","-","7"
"","Tessa Carlin","UTEP","Fr.","F","7"
"","Amanda Carolan","Georgetown","Sr.","-","7"
"","Mikayla Colohan","BYU","Jr.","M","7"
"","Sydney Cummings","Brown","Jr.","-","7"
"","Kirsten Davis","Texas Tech","Jr.","-","7"
"","Elise Flake","BYU","Sr.","F","7"
"","Aubrey Goodwill","Sacramento St.","Jr.","D","7"
"","Julia Grainda","Charlotte","Sr.","-","7"
"","Molly Grant","Lipscomb","Fr.","-","7"
"","Jasmine Greene","Furman","Fr.","F","7"
"","Brooke Hanson","Incarnate Word","Sr.","F","7"
"","Jenny Hipp","Massachusetts","Jr.","-","7"
"","Penelope Hocking","Southern California","So.","F","7"
"","Emily Hogan","Central Conn. St.","Sr.","D","7"
"","Kailey Ivins","Northern Ky.","Jr.","M","7"
"","India Jencks","Gonzaga","Sr.","M","7"
"","Natalie Jones","Abilene Christian","Fr.","M","7"
"","Becca Jostes","SIUE","Sr.","-","7"
"","Sam Kambol","Ball St.","Sr.","-","7"
"","Monigo Karnley","Mississippi St.","So.","-","7"
"","Maureen Kennedy","Bowling Green","Sr.","D","7"
"","Rafferty Kugler","Milwaukee","So.","F","7"
"","Melissa Kössler","Massachusetts","Fr.","-","7"
"","Brittany LaPlant","Rutgers","Sr.","F","7"
"","Grace Labadie","Western Mich.","Sr.","-","7"
"","Madison Ledet","Lamar University","Jr.","F","7"
"","Tatiana Mason","Ball St.","So.","-","7"
"","Robyn Mccarthy","Fresno St.","So.","-","7"
"","Aubrey Megrath","South Fla.","Sr.","F","7"
"","Ru Mucherera","North Carolina","Sr.","-","7"
"","Shaelan Murison","UC Santa Barbara","Sr.","-","7"
"","Chloe O'Neill","Villanova","So.","-","7"
"","Anna Podojil","Arkansas","Fr.","-","7"
"","Iris Rabot","James Madison","So.","-","7"
"","Kim Rodriguez","Oklahoma St.","Jr.","D","7"
"","Ally Schlegel","Penn St.","Fr.","M","7"
"","McKaela Schmelzer","Milwaukee","Sr.","M","7"
"","Kristina Serres","Boise St.","Sr.","-","7"
"","Raimee Sherle","Boise St.","Sr.","-","7"
"","Katie Smith","Texas A&M","Fr.","D","7"
"","Katie  Soderstrom","Butler","So.","-","7"
"","Sarah  Teubner","Grambling","Jr.","-","7"
"","Pernille Velta","Fla. Atlantic","Sr.","-","7"
"","Ally Watt","Texas A&M","Sr.","F","7"
"","Casey Wertz","Alabama","Jr.","F","7"
"","Lotte Wubben-Moy","North Carolina","Jr.","-","7"
"","Suzuka Yosue","The Citadel","Fr.","-","7"
"147","Marah Abu-Tayeh","Marshall","Sr.","-","6"
"","Serena Ahmed","Massachusetts","Fr.","D","6"
"","Christina Arteaga","Abilene Christian","Jr.","F","6"
"","Ansley Atkinson","Creighton","So.","M","6"
"","Ambere Barnett","Western Ky.","So.","M","6"
"","Abby Basler","Illinois St.","Jr.","-","6"
"","Brooke Beam","Richmond","Sr.","-","6"
"","Natalie Beckman","Denver","So.","F","6"
"","Desiree Bowen","Houston","Sr.","-","6"
"","Messiah Bright","TCU","So.","F","6"
"","Tori Cannata","Arkansas","Sr.","-","6"
"","Alyssa Carfagno","Army West Point","Fr.","F","6"
"","Kendra Cashion","Troy","So.","F","6"
"","Mia Corbin","California","Sr.","F","6"
"","Isabel Cox","North Carolina","Fr.","-","6"
"","Gabby DelPico","Harvard","Fr.","M","6"
"","Phoebe Dinga","James Madison","Sr.","-","6"
"","Jadyn Edwards","New Mexico","So.","F","6"
"","Kess Elmore","UConn","Jr.","-","6"
"","Camryn Evans","Michigan St.","So.","F","6"
"","Jlon Flippens","Maryland","Sr.","D","6"
"","Hannah Friedrich","Saint Louis","So.","-","6"
"","Machaela George","Santa Clara","Sr.","D","6"
"","Madie Gibson","Monmouth","Sr.","-","6"
"","Beattie Goad","Stanford","Sr.","-","6"
"","Michelle Gonzalez","North Texas","Fr.","M","6"
"","Fanny Gotesson","Stony Brook","Jr.","F","6"
"","Abby Greubel","Stanford","So.","-","6"
"","Isabella Gutierrez","Furman","So.","M","6"
"","Erin Harris","Kennesaw St.","Jr.","-","6"
"","Nicki Hernandez","Michigan","Jr.","M","6"
"","Olivia Hernandez","Mississippi St.","Jr.","-","6"
"","Brooke Hernon","Fairfield","So.","M","6"
"","Kendra Hoffman","North Florida","So.","-","6"
"","Ceri Holland","Kansas","Jr.","M","6"
"","Ashlan Hustava","Tulsa","Sr.","M","6"
"","Mariana Jaleca","Saint Francis (PA)","Sr.","-","6"
"","McKayla Kertscher","Green Bay","So.","-","6"
"","Abigail Kim","California","Sr.","F","6"
"","Tziarra King","NC State","Sr.","M","6"
"","Krista Kissell","Lafayette","Jr.","-","6"
"","Taylor Kornieck","Colorado","Sr.","-","6"
"","Demi Koulizakis","Texas Tech","Sr.","-","6"
"","Anjela Kricak","ETSU","Fr.","M","6"
"","Evie Lavelle","Saint Louis","Sr.","-","6"
"","Sydney Leckie","Ohio","Sr.","D","6"
"","Sophia Lewis","Toledo","Jr.","F","6"
"","Sarah Luebbert","Missouri","Sr.","F","6"
"","Jayne Lydiatt","Texas Tech","Sr.","-","6"
"","Rachel Lyman","BYU","Sr.","D","6"
"","Saige Lyons","Eastern Wash.","Sr.","-","6"
"","Kelly Maday","Illinois","Sr.","F","6"
"","Lianne Mananquil","Rice","Sr.","-","6"
"","Tina Marolt","Tennessee Tech","Sr.","M","6"
"","Lizzie Mayfield","West Virginia","So.","-","6"
"","Addie McCain","Texas A&M","Jr.","M","6"
"","Baseley McClaskey","Navy","Sr.","M","6"
"","Maycie McKay","Lipscomb","Sr.","-","6"
"","Alivia Milesky","Ohio","Sr.","M","6"
"","Brianna Morris","Charlotte","Jr.","-","6"
"","Sammy Neyman","George Washington","Fr.","-","6"
"","Riley Orr","Charlotte","Sr.","-","6"
"","Sofi Papastamos","Portland St.","So.","-","6"
"","Ellis Patterson","UTSA","Jr.","F","6"
"","Nelia Perez","Radford","Sr.","-","6"
"","Paula Petri","Stony Brook","Fr.","M","6"
"","Serena Pham","Alabama","Fr.","M","6"
"","Brianna Pinto","North Carolina","So.","-","6"
"","Mackenzie Pluck","Duke","So.","-","6"
"","Valentine Pursey","IUPUI","Jr.","F","6"
"","Thais Reiss","North Florida","Jr.","-","6"
"","Nicole Remedios","Eastern Mich.","Sr.","-","6"
"","Bri Robinson","Charleston So.","Fr.","-","6"
"","Anika Rodriguez","UCLA","Sr.","F","6"
"","Jessica Schildkraut","Columbia","So.","M","6"
"","Cameron Shedenhelm","Kent St.","Jr.","-","6"
"","Tara Smith","TCU","Sr.","M","6"
"","Morgan Smocovich","Little Rock","Jr.","M","6"
"","Sarah Sodoma","Arkansas St.","Jr.","F","6"
"","Danielle Stephan","Michigan St.","Jr.","M","6"
"","Ella Stevens","Duke","Sr.","-","6"
"","Megan  Sullivan","Northern Ky.","Fr.","M","6"
"","Anna Sumpter","Virginia","Jr.","M","6"
"","Alexa Svensson","Marist","Sr.","D","6"
"","Hannah Tillett","Middle Tenn.","So.","-","6"
"","Amanda West","Pittsburgh","Fr.","F","6"
"","Olivia Wilkes","South Alabama","So.","D","6"
"","Kaylan Williams","New Hampshire","Sr.","-","6"
"","Ellery Winkler","Yale","Fr.","F","6"
"","Summer Yates","Washington","So.","F","6"
"","Sakura Yoshida","Oregon","Fr.","-","6"
"","Yujie Zhao","Florida St.","So.","-","6"

NCAA Women's Soccer
Division ITotal Goals
Through Games 12/08/2019


"Rank","Name","Team","Cl","Pos","Goals"
"1","Catarina Macario","Stanford","Jr.","-","32"
"2","Esther Okoronkwo","Lamar University","Jr.","F","25"
"","Evelyne Viens","South Fla.","Sr.","F","25"
"4","Lucy Ashworth","Lamar University","Jr.","F","21"
"5","Elise Flake","BYU","Sr.","F","20"
"6","Peyton DePriest","Middle Tenn.","Jr.","-","18"
"","Penelope Hocking","Southern California","So.","F","18"
"8","Kate Del Fava","Illinois St.","Sr.","-","17"
"","Katie McClure","Kansas","Sr.","F","17"
"","Shaelan Murison","UC Santa Barbara","Sr.","-","17"
"","Sophia Smith","Stanford","So.","-","17"
"","Autumn Woodard","Louisiana Tech","So.","F","17"
"13","Mikayla Colohan","BYU","Jr.","M","16"
"","Kirsten Davis","Texas Tech","Jr.","-","16"
"","Clarissa Larisey","Memphis","Jr.","F","16"
"","Lucy Porter","Hofstra","Jr.","M","16"
"","Raimee Sherle","Boise St.","Sr.","-","16"
"","Ally Watt","Texas A&M","Sr.","F","16"
"19","Izzy D'Aquila","Santa Clara","Fr.","M","15"
"","Meghan McCool","Virginia","Sr.","F","15"
"","Tara McKeown","Southern California","Jr.","F","15"
"","Briana Morris","South Alabama","Sr.","F","15"
"","Diana Ordonez","Virginia","Fr.","F","15"
"","Kelsey Turnbow","Santa Clara","Jr.","-","15"
"","Miyah Watford","Murray St.","Sr.","-","15"
"","Morgan Weaver","Washington St.","Sr.","F","15"
"27","Mia Fishel","UCLA","Fr.","M","14"
"","Alexa Genas","Campbell","Sr.","F","14"
"","Berklee Peters","North Texas","Jr.","F","14"
"","Anna Podojil","Arkansas","Fr.","-","14"
"","Lexi Romero","Air Force","Fr.","F","14"
"32","Keeley Ayala","Incarnate Word","So.","F","13"
"","Samantha Dewey","Xavier","Sr.","-","13"
"","Haley Hopkins","Vanderbilt","Jr.","F","13"
"","Tziarra King","NC State","Sr.","M","13"
"","Mackenzie Litzsinger","SIUE","Jr.","-","13"
"","Nelia Perez","Radford","Sr.","-","13"
"","Dani Rhodes","Wisconsin","Sr.","F","13"
"","Alessia Russo","North Carolina","Jr.","-","13"
"","Ally Schlegel","Penn St.","Fr.","M","13"
"","Allie Thornton","SMU","Sr.","F","13"
"","Shawna Zaken","Northern Ky.","Sr.","M","13"
"43","Christina Arteaga","Abilene Christian","Jr.","F","12"
"","Maddie Bennett","Cal St. Fullerton","Sr.","F","12"
"","Lauren Bonavita","Massachusetts","So.","-","12"
"","Messiah Bright","TCU","So.","F","12"
"","Deyna Castellanos","Florida St.","Sr.","-","12"
"","Kaylee Dao","Oklahoma","Sr.","-","12"
"","Alyssa Francese","Stony Brook","Jr.","F","12"
"","Stina Kleppe","Gardner-Webb","Sr.","M","12"
"","Taylor Kornieck","Colorado","Sr.","-","12"
"","Alyssa McGhee","Saint Francis (PA)","Sr.","-","12"
"","Atlanta Primus","Cal St. Fullerton","Sr.","M","12"
"","Thais Reiss","North Florida","Jr.","-","12"
"","Cameron Tucker","BYU","Jr.","F","12"
"56","Sabrina Bryan","Hofstra","Jr.","F","11"
"","Amanda Carolan","Georgetown","Sr.","-","11"
"","Julissa Cisneros","Missouri","So.","F","11"
"","Sam Coffey","Penn St.","Jr.","M","11"
"","Nicole Douglas","Arizona St.","So.","F","11"
"","Hannah Friedrich","Saint Louis","So.","-","11"
"","Madison Haley","Stanford","Jr.","-","11"
"","Skylar Heinrich","Creighton","Fr.","F","11"
"","Elyse Huber","North Dakota St.","Sr.","F","11"
"","Samantha Jehnings","San Francisco","Sr.","M","11"
"","Zsani Kajan","St. John's (NY)","Jr.","-","11"
"","Melissa Kössler","Massachusetts","Fr.","-","11"
"","Caeley Lordemann","Colorado St.","Sr.","M","11"
"","Leah Manuleleua","South Dakota St.","Sr.","F","11"
"","Nneka Moneme","Rutgers","Jr.","F","11"
"","Mary O'Hara","Fla. Atlantic","Sr.","-","11"
"","Brianna Pinto","North Carolina","So.","-","11"
"","Evdokia Popadinova","FGCU","Sr.","F","11"
"","Rachel Sorkenn","George Washington","So.","-","11"
"","Alyssa Walker","Richmond","Jr.","-","11"
"","Emma Westin","California","Jr.","F","11"
"","Grace Yochum","Oklahoma St.","So.","M","11"
"78","Maci Bower","La Salle","Sr.","-","10"
"","Rylan Childers","UMKC","So.","M","10"
"","Olivia Doak","Lipscomb","Sr.","-","10"
"","Gabrielle Farrell","Liberty","Sr.","-","10"
"","Channing Foster","Ole Miss","Jr.","F","10"
"","Parker Goins","Arkansas","Jr.","-","10"
"","Megan Greene","Charlotte","Sr.","-","10"
"","Nicole Icen","Mercer","Fr.","F","10"
"","Carson Jones","Elon","Jr.","-","10"
"","Vanessa Kara","Florida","Sr.","F","10"
"","Carly Malatskey","Stanford","Sr.","-","10"
"","Roma McLaughlin","Central Conn. St.","So.","M","10"
"","Alivia Milesky","Ohio","Sr.","M","10"
"","Morgan Otteson","Western Mich.","So.","-","10"
"","Jada Talley","Arizona","Jr.","-","10"
"","Katelyn Termini","SFA","Jr.","-","10"
"","Morgan Turner","DePaul","Jr.","F","10"
"","MaKayla Waldner","Mississippi St.","Sr.","-","10"
"","Amanda West","Pittsburgh","Fr.","F","10"
"","Kennedy White","Bowling Green","Fr.","F","10"
"","Allie Winstanley","Dartmouth","Fr.","F","10"
"99","Marah Abu-Tayeh","Marshall","Sr.","-","9"
"","Jill Aguilera","Arizona","Jr.","-","9"
